#,NAME,RAJD,DECJD,BINARY,BINCOMP,PSR,AGE,EDOT,
574,B1056-78,164.36541667,-79.23988889,*,*,*,1.61e+07,2.15e+31,
575,J1058-5957,164.64270833,-59.96011111,*,*,*,1.49e+07,1.11e+32,
576,B1056-57,164.75370250,-57.70404167,*,*,*,4.36e+06,1.02e+32,
577,J1059+6459,164.86459671,64.99219973,*,*,*,1.00e+07,4.73e+30,
578,J1101-6101,165.43733333,-61.02766667,*,*,NRAD,1.16e+05,1.36e+36,
579,J1101-6424,165.40496792,-64.41092556,ELL1,CO[ncb+15],*,4.50e+10,5.33e+32,
580,J1102+02,165.50000000,2.00000000,*,*,HE[aab+22],*,*,
581,J1103-5403,165.88872500,-54.06201250,*,*,*,1.46e+10,3.72e+33,
582,J1103-6025,165.88116667,-60.42677500,*,*,*,6.34e+06,6.27e+32,
583,J1104-6103,166.07192500,-61.05107778,*,*,*,2.26e+06,3.50e+33,
584,J1105+02,166.38333333,2.48076111,*,*,RRAT[dcm+23],7.07e+07,2.16e+29,
585,J1105-4353,166.35350000,-43.88472222,*,*,*,2.23e+06,2.28e+33,
586,J1105-6037,166.25200000,-60.62119444,*,*,NRAD[aab+22],1.41e+05,1.16e+35,
587,J1105-6107,166.35891667,-61.13026111,*,*,HE[aab+22],6.32e+04,2.48e+36,
588,J1106-6438,166.61850000,-64.65000000,*,*,*,1.85e+07,4.58e+30,
589,J1107-5907,166.89358333,-59.12186111,*,*,*,4.45e+08,2.20e+31,
590,B1105-59,166.99458333,-59.78444444,*,*,*,7.07e+07,3.85e+30,
591,J1107-6143,166.80125000,-61.73305556,*,*,*,1.83e+05,1.06e+33,
592,B1107-56,167.50154667,-56.62571389,*,*,*,4.29e+06,4.68e+32,
593,J1110+58,167.75000000,58.86666667,*,*,*,*,*,
594,J1111-6039,167.95291667,-60.65638889,*,*,NRAD[aab+22],8.63e+03,6.36e+36,
595,J1112-6103,168.06170833,-61.05863889,*,*,HE[aab+22],3.27e+04,4.53e+36,
596,B1110-65,168.16005833,-66.21796194,*,*,*,6.42e+06,8.72e+32,
597,B1110-69,168.21158333,-69.44231389,*,*,*,4.61e+06,2.02e+32,
598,B1112-60,168.59454167,-61.00891667,*,*,*,3.03e+05,2.66e+33,
599,J1115-0956,168.86400417,-9.94808333,*,*,*,5.98e+08,6.08e+29,
600,B1112+50,168.91000000,50.50341389,*,*,*,1.05e+07,2.17e+31,
601,J1115-6052,168.97384167,-60.87183611,*,*,*,5.69e+05,1.63e+34,
602,J1116-2444,169.09691667,-24.74891667,*,*,*,1.40e+07,5.95e+31,
603,B1114-41,169.17952500,-41.37887778,*,*,*,1.88e+06,3.74e+32,
604,J1117-6154,169.34920833,-61.90611111,*,*,*,6.40e+05,3.83e+33,
605,J1117-6447,169.43750000,-64.79944444,*,*,*,7.63e+07,6.14e+30,
606,J1119-6127,169.80958333,-61.46375000,*,*,HE[gkc+07],1.61e+03,2.34e+36,
607,B1118-79,169.92000000,-79.60841667,*,*,*,9.85e+06,1.22e+31,
608,J1120-24,170.00000000,-24.00000000,*,*,*,*,*,
609,J1120-3618,170.09732500,-36.32790778,DDH,He(?)[brf+22],*,9.50e+10,2.13e+32,
610,B1119-54,170.32954167,-54.73475000,*,*,*,3.05e+06,7.15e+32,
611,J1122-3546,170.57184943,-35.77533110,*,*,*,8.15e+09,1.25e+33,
612,J1123-4844,170.81521250,-48.73965278,*,*,*,5.93e+07,1.76e+32,
613,J1123-6102,170.92375000,-61.03505556,*,*,*,1.57e+06,9.72e+32,
614,J1123-6259,170.98137500,-62.98636667,*,*,*,8.19e+05,1.04e+34,
615,J1123-6651,170.96754167,-66.86363056,*,*,*,1.34e+06,8.59e+33,
616,J1124-3653,171.00465000,-36.88863889,ELL1,*,HE,6.35e+09,1.70e+34,
617,J1124-5638,171.23529167,-56.64436111,*,*,*,3.27e+08,5.56e+31,
618,J1124-5916,171.16250000,-59.27194444,*,*,HE[hsp+03],2.85e+03,1.19e+37,
619,J1124-6421,171.24791667,-64.35472222,*,*,*,1.22e+07,2.23e+32,
620,J1125-5825,171.43485683,-58.42135550,DD,He[bbb+11],HE,8.07e+08,8.05e+34,
621,J1125-6014,171.48012346,-60.23519318,T2,He[lfl+06],HE[sbc+19],1.12e+10,8.09e+33,
622,J1125+7819,171.49940268,78.33019874,ELL1,He(?)[tau19],*,9.59e+09,3.70e+33,
623,J1126-2737,171.50833333,-27.61972222,*,*,RRAT[kkl+15],*,*,
624,J1126-38,171.57500000,-38.63333333,*,*,*,*,*,
625,B1124-60,171.71920000,-60.91110000,*,*,*,1.14e+07,1.33e+33,
626,J1126-6942,171.59025000,-69.70438889,*,*,*,2.79e+06,6.68e+32,
627,J1128-6219,172.19458333,-62.31916667,*,*,*,7.43e+08,3.16e+30,
628,J1129-53,172.33750000,-53.51666667,*,*,RRAT,*,*,
629,J1130+09,172.72916667,9.34681944,*,*,RRAT[dcm+23],*,*,
630,J1130-5826,172.56804167,-58.43397222,*,*,*,1.62e+08,1.47e+32,
631,J1130-5925,172.54350000,-59.42613889,*,*,*,1.13e+07,1.19e+32,
632,J1130-6807,172.63297083,-68.12458889,*,*,*,8.84e+06,1.08e+33,
633,J1132+25,173.20833333,25.25000000,*,*,RRAT(?)[ttm18],*,*,
634,J1132-4700,173.06050000,-47.01013889,*,*,*,6.64e+06,8.88e+32,
635,J1132-5627,173.06558333,-56.45802778,*,*,*,4.08e+07,4.99e+32,
636,B1131-62,173.46437500,-62.84738889,*,*,*,3.59e+07,1.67e+31,
637,J1135-49,173.98333333,-49.42527778,*,*,RRAT,*,*,
638,J1135-6055,173.78489583,-60.92680000,*,*,NRAD[aab+22],2.30e+04,2.06e+36,
639,B1133+16,174.01299917,15.85393972,*,*,*,5.04e+06,8.79e+31,
640,B1133-55,174.00900000,-55.41858333,*,*,*,7.02e+05,6.69e+33,
641,J1136-6527,174.10508333,-65.45541667,*,*,*,1.08e+07,4.11e+31,
642,J1137-6700,174.38370417,-67.00916944,*,*,*,1.23e+08,1.64e+31,
643,J1137+7528,174.25857208,75.46730864,ELL1,He[san16],HE,1.23e+10,8.06e+33,
644,J1138-6207,174.59008333,-62.13313889,*,*,*,1.49e+05,3.03e+35,
