#,NAME,RAJD,DECJD,BINARY,BINCOMP,PSR,AGE,EDOT,
920,J1427-4158,216.96154167,-41.98230556,*,*,*,1.50e+07,1.22e+32,
921,B1424-55,217.10933333,-55.51390556,*,*,*,4.33e+06,4.44e+32,
922,J1429-5911,217.49416667,-59.19350000,*,*,NRAD[aab+22],6.02e+04,7.75e+35,
923,J1429-5935,217.35791667,-59.59969444,*,*,*,2.83e+05,3.79e+33,
924,J1430-5712,217.56737500,-57.20872222,*,*,*,1.66e+05,1.56e+34,
925,B1426-66,217.66972917,-66.38487500,*,*,*,4.48e+06,2.26e+32,
926,J1431-4715,217.93590708,-47.25765944,ELL1,MS[ssc+19],HE[btb+15/aab+22],2.26e+09,6.84e+34,
927,J1431-5740,217.76456375,-57.66990833,BT,He[bbb+13],*,1.01e+10,3.65e+33,
928,J1431-6328,213.33845833,-63.46905556,*,*,*,*,*,
929,J1432-5032,218.21779167,-50.53813889,*,*,*,5.44e+06,2.78e+31,
930,J1433+00,218.37500000,0.46666667,*,*,RRAT[dsm+16],*,*,
931,J1433-6038,218.30491667,-60.64297222,*,*,*,5.50e+06,2.98e+31,
932,J1434-5943,218.74295833,-59.72822222,*,*,*,5.74e+08,9.48e+29,
933,J1434-6006,218.52208333,-60.10805556,*,*,*,1.61e+06,4.15e+33,
934,J1434-6029,218.66291667,-60.49694444,*,*,*,1.48e+07,4.55e+31,
935,J1434+7257,218.49890417,72.95736444,*,*,*,1.20e+09,2.99e+32,
936,J1435-5954,218.75086667,-59.91375000,*,*,*,4.84e+06,5.77e+32,
937,J1435-6100,218.83448542,-61.01609889,ELL1,CO[clm+01],*,6.05e+09,1.18e+33,
938,J1437-5959,219.25795833,-59.98372222,*,*,*,1.14e+05,1.44e+36,
939,J1437-6146,219.31379167,-61.76722222,*,*,*,1.17e+06,2.44e+33,
940,J1439-5501,219.91559167,-55.02322806,ELL1,CO[pld+13],HE[fsk+04/aab+22],3.20e+09,2.38e+32,
941,J1439+7655,219.84166667,76.92944444,*,*,RRAT[kkl+15],*,*,
942,B1436-63,220.13025000,-63.74677778,*,*,*,6.50e+06,4.56e+32,
943,J1441-6137,220.43458333,-61.62333333,*,*,*,5.18e+07,8.74e+30,
944,J1443-5122,220.86237500,-51.37388889,*,*,*,3.43e+07,3.40e+31,
945,J1444-5941,221.19375000,-59.68861111,*,*,*,5.31e+06,1.54e+31,
946,J1444-6026,221.02508333,-60.43594444,*,*,RRAT,4.07e+06,6.79e+30,
947,J1446-4701,221.64880023,-47.02410614,T2,UL[kjb+12],HE,3.55e+09,3.66e+34,
948,J1447-5757,221.75000000,-57.95000000,*,*,NRAD[nie+20],2.14e+05,1.16e+35,
949,J1449-5846,222.35595833,-58.77788889,*,*,*,8.54e+07,3.41e+31,
950,J1452-5851,223.21916667,-58.85366667,*,*,*,1.21e+05,3.46e+34,
951,J1452-6036,223.21618750,-60.60873056,*,*,*,1.69e+06,1.54e+34,
952,J1453+1902,223.44049735,19.03669839,*,*,*,7.87e+09,2.37e+33,
953,B1449-64,223.38610417,-64.22111111,*,*,*,1.04e+06,1.87e+34,
954,J1454-5846,223.54545000,-58.77631667,BT,CO[clm+01],*,8.78e+08,3.48e+32,
955,J1455-3330,223.94987774,-33.51288526,DD,He[lnl+95],HE[lnl+95/aab+22],5.21e+09,1.88e+33,
956,J1455-59,223.77500000,-59.38333333,*,*,*,*,*,
957,J1456-48,224.00000000,-48.00000000,*,*,*,*,*,
958,B1451-68,223.99967917,-68.72763889,*,*,*,4.22e+07,2.14e+32,
959,B1454-51,224.41705417,-51.38191667,*,*,*,5.23e+06,3.91e+31,
960,J1457-5900,224.41250000,-59.01416667,*,*,*,6.49e+06,4.29e+31,
961,J1457-5902,224.38291667,-59.03444444,*,*,*,5.03e+05,8.14e+33,
962,J1459-6053,224.87495833,-60.88908333,*,*,NRAD[aab+22],6.47e+04,9.09e+35,
963,J1501-0046,225.43731583,-0.77320000,*,*,*,3.07e+07,9.45e+31,
964,J1501-5637,225.46250000,-56.63000000,*,*,*,7.30e+07,1.40e+31,
965,J1502+28,225.53750000,28.21666667,*,*,RRAT(?)[ttm18],*,*,
966,J1502+4653,225.58262500,46.89094444,*,*,*,1.61e+08,1.26e+30,
967,J1502-5653,225.73912083,-56.89422500,*,*,*,4.64e+06,4.70e+32,
968,J1502-5828,225.68250000,-58.47833333,*,*,*,2.91e+05,4.82e+33,
969,J1502-6128,225.62433333,-61.48063889,*,*,*,9.90e+06,8.91e+31,
970,J1502-6752,225.57756250,-67.87132194,ELL1,UL[kjb+12],*,1.35e+09,6.49e+32,
971,J1503+2111,225.97750000,21.18591667,*,*,*,3.75e+08,1.52e+29,
972,J1504-5621,226.20475000,-56.35888889,*,*,*,1.18e+06,3.10e+33,
973,J1504-5659,226.13327917,-56.98872222,*,*,*,1.86e+07,1.21e+31,
974,J1505-25,226.25000000,-25.00000000,*,*,*,*,*,
975,B1503-51,226.66458333,-51.96944444,*,*,*,2.09e+06,4.23e+32,
976,B1504-43,226.89239583,-43.86779167,*,*,*,2.87e+06,2.65e+33,
977,J1507-5800,226.76460000,-58.01561111,*,*,*,5.46e+07,1.42e+31,
978,B1503-66,226.95264167,-66.68273889,*,*,*,4.89e+06,1.01e+33,
979,B1508+55,227.35679083,55.52566500,*,*,*,2.34e+06,4.88e+32,
980,J1509-5850,227.36315000,-58.84889167,*,*,HE[waa+10],1.54e+05,5.15e+35,
981,J1509-6015,227.28125000,-60.25516667,*,*,*,2.53e+06,2.15e+33,
982,B1507-44,227.70375000,-44.36861111,*,*,*,2.45e+07,2.86e+31,
983,J1511-5414,227.96368750,-54.24453333,*,*,*,6.55e+06,2.38e+33,
984,J1511-5835,227.77916667,-58.59111111,*,*,*,1.39e+07,4.95e+32,
985,J1512-5431,228.02375000,-54.52194444,*,*,*,1.68e+07,8.92e+30,
986,B1508-57,228.17933333,-57.99994444,*,*,*,2.98e+05,1.27e+35,
987,J1513-2550,228.34716912,-25.84202361,ELL1,UL[san16],HE,1.55e+09,8.97e+34,
988,J1513-5739,228.49579167,-57.65038889,*,*,*,5.60e+05,1.18e+33,
989,B1509-58,228.48254583,-59.13600000,*,*,HE[umw+93/ppp+09],1.57e+03,1.73e+37,
990,J1513-5946,228.43658333,-59.77552778,*,*,RRAT,1.94e+06,2.94e+32,
991,J1513-6013,228.47508333,-60.22402778,*,*,*,2.26e+07,7.20e+30,
992,B1510-48,228.56067917,-48.57221389,*,*,*,7.78e+06,3.89e+32,
993,J1514-4946,228.57964208,-49.77097667,ELL1,He[kcj+12],HE,3.05e+09,1.59e+34,
994,J1514-5316,228.66733333,-53.26730556,*,*,*,2.93e+09,2.43e+30,
995,J1514-5925,228.74625000,-59.42875000,*,*,*,8.19e+05,3.45e+34,
996,J1515-5720,228.78845833,-57.34726389,*,*,*,7.45e+05,1.02e+34,
997,J1516-43,229.13458333,-43.33333333,ELL1,*,*,*,*,
998,J1517-313,229.46250000,-31.33333333,*,*,*,*,*,
999,J1517-314,229.46250000,-31.33333333,*,*,*,*,*,
1000,J1517-32,229.25416667,-32.43472222,*,*,*,*,*,
1001,J1517-4356,229.36391667,-43.93830556,*,*,*,4.79e+07,3.09e+31,
1002,J1517-4636,229.37240000,-46.60016667,*,*,*,6.70e+06,1.19e+32,
1003,B1516+02A,229.63882333,2.09098611,*,*,*,2.13e+09,9.50e+33,
1004,B1516+02B,229.63107500,2.08763056,BT,He[hrs+07],*,*,*,
1005,J1518+0204C,229.63662039,2.07994869,ELL1,He(?)[prf+14],*,1.51e+09,6.72e+34,
1006,J1518+0204D,229.63833333,2.08111111,BT,He[hrs+07],*,*,*,
1007,J1518+0204E,229.64166667,2.08277778,BT,He[hrs+07],*,*,*,
1008,J1518+0204F,229.63833333,2.08111111,*,*,BINARY[pqm+21],*,*,
1009,J1518-0627,229.74629333,-6.45213889,*,*,*,3.01e+07,3.28e+31,
1010,J1518-3952,229.73736667,-39.87508333,*,*,*,3.34e+07,7.52e+31,
1011,J1518+4904,229.56999618,49.07618089,DD,NS[jsk+08],*,2.39e+10,1.56e+31,
1012,J1518-5415,229.55625000,-54.26250000,*,*,*,8.39e+07,1.61e+32,
1013,J1519-5734,229.94829167,-57.57044444,*,*,*,1.92e+06,1.21e+33,
1014,J1519-6106,229.89920833,-61.11516667,*,*,*,4.08e+06,3.31e+31,
1015,J1519-6308,229.78983333,-63.13875000,*,*,*,3.33e+06,1.19e+32,
1016,J1522-5525,230.52791667,-55.42152778,*,*,*,6.67e+06,4.86e+31,
1017,J1522-5735,230.52208333,-57.58333333,*,*,NRAD[aab+22],5.18e+04,1.16e+36,
1018,B1518-58,230.67601667,-58.48411528,*,*,*,3.05e+06,1.31e+33,
1019,J1523-3235,230.90708333,-32.59502778,*,*,*,2.50e+07,1.10e+31,
1020,J1524-5625,231.20775000,-56.42316667,*,*,*,3.18e+04,3.21e+36,
1021,J1524-5706,231.08925000,-57.10962222,*,*,*,4.96e+04,1.01e+34,
1022,J1524-5819,231.10270833,-58.32058333,*,*,*,1.21e+05,5.60e+33,
1023,J1525-5417,231.36812500,-54.28888889,*,*,*,9.91e+05,6.17e+32,
1024,J1525-5523,231.40026667,-55.39088889,*,*,*,6.28e+08,7.90e+30,
1025,J1525-5545,231.36722500,-55.76384500,ELL1,CO[nbb+14],*,1.37e+09,3.54e+33,
1026,J1525-5605,231.42270833,-56.08694444,*,*,*,3.83e+07,2.08e+32,
1027,J1526-2744,231.68792917,-27.73497500,ELL1,He[cbb+23],NRAD[aab+22],1.11e+10,9.05e+33,
1028,J1526-5633,231.67166667,-56.56194444,*,*,*,3.89e+07,1.76e+32,
1029,B1524-39,231.99511667,-39.52616667,*,*,*,2.01e+06,5.33e+31,
1030,B1523-55,231.91972500,-55.86898667,*,*,*,1.47e+06,3.86e+32,
1031,J1528-3146,232.14564250,-31.76856556,DD,CO[jbo+07],*,3.87e+09,4.37e+31,
1032,J1528-4109,232.03347083,-41.15800000,*,*,*,2.11e+07,1.07e+32,
1033,J1528-5547,232.16325000,-55.78972222,*,*,*,7.09e+06,7.34e+30,
1034,J1528-5838,232.10125000,-58.63361111,*,*,NRAD[aab+22],2.28e+05,2.17e+34,
1035,J1529-26,232.25000000,-26.00000000,*,*,*,*,*,
1036,J1529-3828,232.31294417,-38.47940278,DD,He[nbb+14],*,4.98e+09,1.74e+33,
1037,J1529+40,232.30000000,40.81666667,*,*,*,*,*,
1038,J1529-5355,232.49000000,-53.92666667,*,*,*,1.74e+07,4.52e+31,
1039,J1529-5611,232.39916667,-56.19138889,*,*,*,3.18e+06,2.91e+32,
1040,J1530-21,232.50000000,-21.00000000,*,*,*,*,*,
1041,J1530-5327,232.61205000,-53.46556111,*,*,*,9.44e+05,8.51e+33,
1042,J1530-6343,232.69836667,-63.72044444,*,*,*,1.75e+07,4.32e+31,
1043,J1531-4012,232.78354167,-40.20858333,*,*,*,5.87e+07,8.37e+31,
1044,J1531-5610,232.86625417,-56.18203611,*,*,HE[kbm+03/aab+22],9.67e+04,9.12e+35,
1045,B1530+27,233.04318583,27.76378417,*,*,*,2.29e+07,2.16e+31,
1046,J1532-5308,233.14791667,-53.13500000,*,*,*,1.08e+08,2.94e+31,
1047,J1532-56,233.07500000,-56.53333333,*,*,*,*,*,
1048,J1534-4428,233.71666667,-44.46927778,*,*,*,1.08e+08,3.90e+30,
1049,J1534-46,233.53333333,-46.23333333,*,*,RRAT,*,*,
1050,B1530-53,233.53449167,-53.57212778,*,*,*,1.52e+07,2.20e+31,
1051,B1530-539,233.63995833,-54.09436111,*,*,*,2.97e+06,2.51e+33,
1052,J1535-4114,233.82112500,-41.23419444,*,*,*,1.68e+06,1.98e+33,
1053,J1535-4415,233.98300000,-44.25233333,*,*,*,1.83e+08,1.56e+31,
1054,J1535-5450,233.99275000,-54.84055556,*,*,*,6.26e+05,3.11e+33,
1055,J1535-5848,233.81983333,-58.80769444,*,*,*,1.79e+06,3.70e+33,
1056,J1536+17,234.06250000,17.81666667,*,*,*,*,*,
1057,J1536-30,234.00000000,-30.00000000,*,*,*,*,*,
1058,J1536-3602,234.07242500,-36.04966667,*,*,*,2.65e+07,1.36e+31,
1059,J1536-4948,234.09675379,-49.81519111,DDH,He[brj+21],HE[brj+21],2.30e+09,2.86e+34,
1060,J1536-5433,234.02008333,-54.55416667,*,*,*,7.31e+06,1.10e+32,
1061,J1536-5907,234.07383333,-59.11766667,*,*,*,6.47e+06,3.11e+32,
1062,B1534+12,234.29150721,11.93206496,DD,NS[sttw02],*,2.48e+08,1.76e+33,
1063,J1537-4912,234.36750000,-49.20083333,*,*,*,2.47e+06,2.79e+33,
1064,J1537-5153,234.31554167,-51.88500000,*,*,*,5.80e+06,4.62e+31,
1065,J1537-5312,234.40706108,-53.20696028,ELL1,He[ccb+20],*,6.92e+09,1.88e+33,
1066,J1537-5645,234.46250000,-56.75111111,*,*,*,2.45e+06,1.38e+33,
1067,J1538+2345,234.52529167,23.75111111,*,*,RRAT,7.93e+06,6.63e+30,
1068,J1538-5438,234.70395833,-54.63805556,*,*,*,3.08e+06,2.65e+33,
1069,J1538-5519,234.67012500,-55.32944444,*,*,*,1.53e+08,2.61e+31,
1070,J1538-5551,234.68756667,-55.86026389,*,*,*,5.17e+05,1.10e+35,
1071,J1538-5621,234.68037500,-56.36541667,*,*,*,4.14e+06,4.15e+31,
1072,J1538-5638,234.52375000,-56.63666667,*,*,*,1.88e+06,4.68e+32,
1073,J1538-5732,234.57575000,-57.54147222,*,*,*,1.19e+06,4.52e+33,
1074,J1538-5750,234.53504167,-57.83808333,*,*,*,1.91e+08,1.28e+31,
1075,J1539-4828,234.92016667,-48.48250000,*,*,*,1.59e+07,2.43e+31,
1076,J1539-5521,234.78320833,-55.35311111,*,*,*,2.19e+07,2.83e+31,
1077,B1535-56,234.80858333,-56.44063889,*,*,*,7.95e+05,1.33e+34,
1078,J1539-6322,234.85291667,-63.38144444,*,*,*,1.28e+08,1.83e+30,
1079,J1540-5736,235.24591667,-57.61583333,*,*,*,2.31e+07,7.21e+31,
1080,J1541-42,235.47916667,-42.31388889,*,*,RRAT,*,*,
1081,J1541+47,235.27308333,47.05095833,*,*,RRAT[dcm+23],2.10e+07,3.87e+32,
1082,J1541-5535,235.45666667,-55.58361111,*,*,*,6.25e+04,1.14e+35,
1083,J1542-5034,235.68883333,-50.56768333,*,*,*,2.36e+06,7.38e+32,
1084,J1542-5133,235.58304167,-51.55972222,*,*,*,4.80e+07,4.09e+30,
1085,J1542-5303,235.72712500,-53.06138889,*,*,*,2.46e+05,1.74e+33,
1086,B1540-06,235.87557208,-6.34592556,*,*,*,1.28e+07,9.74e+31,
1087,B1541+09,235.91177083,9.48787194,*,*,*,2.74e+07,4.07e+31,
1088,J1543-5013,235.99270833,-50.23277778,*,*,*,1.01e+06,1.50e+33,
1089,J1543-5149,235.93395750,-51.83185694,ELL1,He[kjb+12],HE[aab+22],2.02e+09,7.33e+34,
1090,J1543-5459,235.98512500,-54.98750000,*,*,*,1.15e+05,3.83e+34,
1091,J1544-0713,236.09802917,-7.23306111,*,*,*,6.75e+06,3.95e+32,
1092,J1544+4937,236.01871292,49.63204833,ELL1,UL[brr+13],HE[brr+13],1.22e+10,1.10e+34,
1093,B1541-52,236.24928917,-53.14637583,*,*,*,4.70e+07,4.18e+32,
1094,J1545-4550,236.48310608,-45.84375766,T2,He[bbb+13],*,1.08e+09,4.53e+34,
1095,J1546-3747A,236.51433333,-37.78613889,BT,*,*,*,*,
1096,J1546-5302,236.53083333,-53.03972222,*,*,*,7.80e+05,2.38e+33,
1097,J1546-5925,236.62227333,-59.42913083,*,*,*,7.67e+09,1.34e+33,
1098,J1547-0944,236.94190833,-9.73550000,*,*,*,8.50e+06,2.96e+31,
1099,J1547-5709,236.85052000,-57.15488053,ELL1,He[ccb+20],*,9.13e+09,3.72e+33,
1100,J1547-5750,236.87750000,-57.84150000,*,*,*,4.01e+08,3.72e+30,
1101,J1547-5839,236.89579167,-58.65272222,*,*,*,6.46e+06,1.65e+33,
1102,J1548-4821,237.09691667,-48.36380556,*,*,*,2.88e+09,1.02e+31,
1103,J1548-4927,237.08112500,-49.46122222,*,*,*,2.36e+06,7.30e+32,
1104,J1548-5607,237.18339583,-56.12619444,*,*,*,2.52e+05,8.48e+34,
1105,J1549+2113,237.42058750,21.22413889,*,*,*,2.34e+07,1.68e+31,
1106,J1549-4848,237.33783333,-48.80986111,*,*,*,3.24e+05,2.32e+34,
1107,J1549-57,237.27083333,-57.36027778,*,*,RRAT,*,*,
1108,J1549-5722,237.44958333,-57.36722222,*,*,*,1.68e+08,1.50e+31,
1109,J1550-5242,237.51229167,-52.70194444,*,*,*,6.68e+05,1.67e+33,
1110,J1550-5317,237.52000000,-53.28916667,*,*,*,2.41e+07,1.29e+31,
1111,J1550-5418,237.72551608,-54.30669836,*,*,AXP/HE,1.41e+03,1.03e+35,
1112,J1551-0658,237.78006250,-6.96847222,*,*,*,*,*,
1113,J1551-4424,237.95008333,-44.41166667,*,*,*,5.68e+07,2.42e+31,
1114,J1551-5310,237.92083333,-53.18347222,*,*,*,3.69e+04,8.25e+34,
1115,J1551-6214,237.90328333,-62.23982500,*,*,*,1.38e+08,1.14e+32,
1116,J1552-4937,238.05529542,-49.63048444,*,*,*,5.24e+09,3.02e+33,
1117,J1552+5437,238.22221321,54.61827406,*,*,HE[pbh+17],1.38e+10,7.72e+33,
1118,B1550-54,238.49837500,-54.93506944,*,*,*,1.09e+06,4.91e+32,
1119,J1554+18,238.57083333,18.06666667,*,*,RRAT[dsm+16],*,*,
1120,J1554-5209,238.61312500,-52.16063889,*,*,RRAT,8.65e+05,4.61e+34,
1121,J1554-5512,238.66875000,-55.20916667,*,*,*,1.74e+06,3.08e+31,
1122,J1555+01,238.99166667,1.13333333,*,*,RRAT[ttm18],*,*,
1123,J1555-0515,238.91707083,-5.26594444,*,*,*,7.52e+06,8.74e+31,
1124,B1552-23,238.88826808,-23.68607516,*,*,*,1.22e+07,1.81e+32,
1125,J1555-2908,238.91941062,-29.14122867,ELL1,UL[rnc+22],HE[rnc+22],6.36e+08,3.08e+35,
1126,B1552-31,238.82480000,-31.57225000,*,*,*,1.32e+08,1.77e+31,
1127,J1556-5358,239.21458333,-53.98194444,*,*,*,1.51e+06,4.18e+32,
1128,J1557-4258,239.25107500,-42.97018333,*,*,*,1.58e+07,3.65e+32,
1129,J1557-5151,239.37208333,-51.85233333,*,*,*,8.58e+07,4.38e+31,
1130,J1558-5419,239.67270833,-54.32388889,*,*,*,1.56e+06,1.13e+33,
1131,J1558-5756,239.62720833,-57.94058333,*,*,*,9.54e+04,5.21e+33,
1132,J1558-67,239.58750000,-67.59972222,*,*,*,*,*,
1133,J1559-44,239.75000000,-44.00000000,*,*,*,*,*,
1134,B1556-44,239.92302552,-44.64608383,*,*,*,4.00e+06,2.37e+33,
1135,B1555-55,239.83625000,-55.76305556,*,*,*,7.62e+05,8.96e+32,
1136,J1600-3053,240.21626293,-30.89705350,T2,He[jbo+07],HE[egc+13],6.00e+09,8.05e+33,
1137,B1557-50,240.22089583,-50.73925000,*,*,*,6.03e+05,2.80e+34,
1138,B1556-57,240.08291667,-57.85425000,*,*,*,1.45e+06,1.14e+34,
1139,J1600-5916,240.14583333,-59.28305556,*,*,*,2.23e+07,1.80e+31,
1140,J1601-50,240.35000000,-50.38333333,*,*,*,*,*,
1141,J1601-5244,240.36375000,-52.73583333,*,*,*,5.63e+07,1.70e+30,
1142,J1601-5335,240.47837500,-53.59558333,*,*,*,7.33e+04,1.03e+35,
1143,J1602+3901,240.57850000,39.01716667,*,*,*,*,*,
1144,J1602-4957,240.57583333,-49.95888889,*,*,*,8.15e+05,1.14e+33,
1145,B1558-50,240.57804167,-51.00169444,*,*,*,1.97e+05,4.24e+33,
1146,J1603-1655,240.78750000,-16.92444444,*,*,RRAT[mss+20],*,*,
1147,J1603+18,240.89166667,18.85000000,*,*,RRAT[dsm+16],*,*,
1148,J1603-2531,240.77010542,-25.52997222,*,*,*,2.81e+06,2.77e+33,
1149,B1600-27,240.78359696,-27.22433718,*,*,*,4.10e+06,2.52e+32,
1150,J1603-3539,240.97373750,-35.66586111,*,*,*,1.81e+07,1.72e+33,
1151,J1603-5312,240.96200000,-53.21611111,*,*,*,2.68e+05,3.31e+33,
1152,J1603-5657,240.88108333,-56.96227500,*,*,*,2.81e+06,9.04e+32,
1153,J1603-7202,240.89864683,-72.04243281,T2,CO[wrts22],*,1.50e+10,1.89e+32,
1154,J1604-3142,241.15227500,-31.70177778,*,*,*,5.29e+08,1.51e+30,
1155,J1604-44,241.13333333,-44.71666667,*,*,*,*,*,
1156,J1604-4718,241.12254167,-47.31330556,*,*,*,1.68e+06,1.33e+33,
1157,B1600-49,241.09573333,-49.16610556,*,*,*,5.09e+06,1.15e+33,
1158,J1604-7203,241.12157083,-72.05846111,*,*,*,6.44e+07,8.33e+31,
1159,J1605+3249,241.32716667,32.82166667,*,*,XINS/NRAD,*,*,
1160,J1605-5215,241.32916667,-52.26333333,*,*,*,3.38e+06,1.80e+32,
1161,B1601-52,241.31777083,-52.95966667,*,*,*,4.07e+07,3.55e+31,
1162,B1604-00,241.80024917,-0.54486861,*,*,*,2.18e+07,1.61e+32,
1163,J1607-5140,241.95541667,-51.67111111,*,*,*,2.14e+06,2.49e+33,
1164,J1607-6449,241.95296250,-64.82863333,*,*,*,1.90e+08,3.71e+31,
1165,J1609-1930,242.27229167,-19.50222222,*,*,*,4.85e+07,5.31e+30,
1166,J1609-4616,242.42137500,-46.27291667,*,*,*,7.89e+06,1.27e+33,
1167,J1609-5158,242.36125000,-51.97166667,*,*,*,1.56e+06,2.44e+32,
1168,B1607-13,242.67822850,-13.37286409,*,*,*,7.02e+07,8.59e+30,
1169,J1610-17,242.54583333,-17.83333333,*,*,RRAT,*,*,
1170,J1610-5006,242.68458333,-50.11172222,*,*,*,5.59e+05,4.83e+33,
1171,J1610-5303,242.55341667,-53.06361111,*,*,*,4.77e+06,2.12e+32,
1172,J1611-01,242.75000000,-1.46666667,*,*,RRAT,*,*,
1173,J1611-29,242.75000000,-29.00000000,*,*,*,*,*,
1174,J1611-4811,242.76125000,-48.19416667,*,*,*,1.05e+07,3.53e+31,
1175,J1611-4949,242.94429167,-49.83255556,*,*,*,1.95e+07,7.23e+31,
1176,B1607-52,242.76404167,-52.15614722,*,*,*,5.59e+05,3.36e+34,
1177,J1611-5847,242.96380417,-58.79509167,*,*,*,2.79e+09,1.78e+30,
1178,J1612+2008,243.09763333,20.13842500,*,*,*,1.81e+08,1.89e+31,
1179,J1612-2408,243.10858333,-24.13444444,*,*,*,9.30e+06,7.88e+31,
1180,J1612-49,243.22500000,-49.45000000,*,*,*,*,*,
1181,J1612-5022,243.11678333,-50.38258333,*,*,*,6.38e+08,5.24e+29,
1182,J1612-5136,243.00250000,-51.61500000,*,*,*,2.02e+06,1.32e+33,
1183,J1612-55,243.02500000,-55.15000000,*,*,*,*,*,
1184,J1612-5805,243.11590000,-58.09144444,*,*,*,1.04e+07,1.58e+32,
1185,B1609-47,243.37090833,-47.24066944,*,*,*,9.56e+06,4.48e+32,
1186,J1613-5211,243.42691667,-52.18916667,*,*,*,3.77e+05,7.93e+33,
1187,J1613-5234,243.48954167,-52.57138889,*,*,*,1.57e+06,9.30e+32,
1188,B1612+07,243.67044377,7.62528291,*,*,*,8.10e+06,5.30e+31,
1189,J1614-2230,243.65211475,-22.50869336,ELL1,CO[dpr+10],HE[aaa+09f],5.19e+09,1.21e+34,
1190,J1614-2318,243.51019583,-23.30680556,BT,*,*,1.03e+10,5.41e+31,
1191,J1614-3846,243.67716667,-38.77638889,*,*,*,7.99e+06,3.63e+32,
1192,J1614-3937,243.63011250,-39.62466667,*,*,*,4.07e+07,9.26e+31,
1193,B1610-50,243.54704167,-50.80097222,*,*,HE[jlm+92/aab+22],7.42e+03,1.57e+36,
1194,J1614-5144,243.69041667,-51.74694444,*,*,*,3.27e+06,8.14e+31,
1195,J1614-5402,243.70991667,-54.04638889,*,*,*,3.13e+08,6.10e+30,
1196,B1612-29,243.97014552,-29.67104248,*,*,*,2.48e+07,4.11e+30,
1197,J1615-4958,243.82241667,-49.96722222,*,*,*,6.05e+06,3.32e+32,
1198,J1615-5137,243.82000000,-51.62000000,*,*,NRAD[pvc19],2.67e+05,7.28e+34,
1199,J1615-5444,243.75496250,-54.74233333,*,*,*,1.69e+07,2.83e+32,
1200,B1611-55,243.91845833,-55.61680556,*,*,*,6.27e+06,1.59e+32,
1201,J1616-5017,244.12454167,-50.28747222,*,*,*,1.67e+05,1.55e+34,
1202,J1616-5109,244.12875000,-51.15472222,*,*,*,1.01e+06,4.15e+32,
1203,J1616-5208,244.09750000,-52.14666667,*,*,*,5.62e+05,1.06e+33,
1204,J1617-4216,244.34741667,-42.28305556,*,*,*,3.00e+06,1.78e+31,
1205,J1617-4608,244.39627083,-46.14347222,*,*,*,5.46e+05,3.56e+33,
1206,J1617-5055,244.37208333,-50.92033333,*,*,HE[tkt+98],8.13e+03,1.60e+37,
1207,J1618-36,244.63375000,-36.06166667,*,*,*,*,*,
1208,J1618-3921,244.57843667,-39.35050417,T2,He[ocg+18],*,3.51e+09,1.24e+33,
1209,J1618-4624,244.71989912,-46.40970833,ELL1,CO[ccb+20],HE[ccb+20/aab+22],3.03e+10,5.86e+32,
1210,J1618-4723,244.52833333,-47.38863889,*,*,*,1.62e+06,9.33e+33,
1211,J1619-3345,244.75833333,-33.75027778,*,*,RRAT[mss+20],*,*,
1212,J1619-42,244.77500000,-42.03333333,*,*,*,*,*,
1213,J1620-4927,245.17300000,-49.46030556,*,*,NRAD[aab+22],2.60e+05,8.15e+34,
1214,J1620-5414,245.06016667,-54.24769444,*,*,*,2.72e+08,1.72e+30,
1215,J1621-5039,245.26962500,-50.66350000,*,*,*,1.32e+06,4.04e+32,
1216,J1621-5243,245.48250000,-52.72888889,*,*,*,7.67e+06,5.89e+32,
1217,J1622-0315,245.74845208,-3.26036889,BTX,MS[ssc+19],HE,5.33e+09,7.94e+33,
1218,J1622-3751,245.51908333,-37.85386111,*,*,*,4.51e+06,2.59e+32,
1219,J1622-4332,245.68945000,-43.54116667,*,*,*,9.28e+06,8.01e+31,
1220,J1622-4347,245.62525000,-43.78927778,*,*,*,1.44e+06,2.08e+33,
1221,J1622-4802,245.69662500,-48.03697222,*,*,*,1.37e+07,6.51e+32,
1222,J1622-4845,245.52270833,-48.77472222,*,*,*,1.06e+08,1.09e+31,
1223,J1622-4944,245.65625000,-49.74166667,*,*,*,9.95e+05,5.46e+32,
1224,J1622-4950,245.68666667,-49.84844444,*,*,AXP/HE,2.47e+04,1.35e+33,
1225,J1622-6617,245.51528375,-66.28804944,ELL1,He(?)[kjb+12],*,6.36e+09,1.76e+32,
1226,J1623-0841,245.92784458,-8.69350000,*,*,RRAT,4.08e+06,6.07e+32,
1227,B1620-09,245.82358292,-9.14687028,*,*,*,7.84e+06,4.90e+31,
1228,B1620-26,245.90925750,-26.53160250,BT,HeT[tacl99],*,2.62e+08,1.95e+34,
1229,B1620-42,245.95121250,-42.94794444,*,*,*,5.75e+06,8.19e+32,
1230,J1623-4949,245.97833333,-49.81777778,*,*,*,2.73e+05,4.35e+33,
1231,J1623-5005,245.76712500,-50.08752778,*,*,NRAD[cwp+17],3.24e+05,2.67e+35,
1232,J1623-6936,245.96420833,-69.61341667,ELL1,He[cbb+23],*,*,*,
1233,J1624-39,246.10416667,-39.85000000,*,*,HE[trr+21/aab+22],*,*,
1234,J1624-4041,246.04136250,-40.69158333,*,*,NRAD[aab+22],5.63e+05,3.94e+34,
1235,J1624-4411,246.08900417,-44.19272222,*,*,*,4.62e+06,2.49e+33,
